range_m,range_km,altitude_m,altitude_km,mach,segment
5098756.796997637,5098.756796997636,30000.0,30.0,5.0,cruise
5199456.830352202,5199.456830352202,30000.0,30.0,5.0,cruise
5300156.863706768,5300.156863706768,30000.0,30.0,5.0,cruise
5400856.897061333,5400.856897061333,30000.0,30.0,5.0,cruise
5501556.930415899,5501.556930415899,30000.0,30.0,5.0,cruise
5602256.963770464,5602.256963770464,30000.0,30.0,5.0,cruise
5702956.99712503,5702.956997125029,30000.0,30.0,5.0,cruise
5803657.030479595,5803.657030479595,30000.0,30.0,5.0,cruise
5904357.063834161,5904.357063834161,30000.0,30.0,5.0,cruise
6005057.097188726,6005.057097188726,30000.0,30.0,5.0,cruise
6105757.130543292,6105.757130543291,30000.0,30.0,5.0,cruise
6206457.163897857,6206.457163897857,30000.0,30.0,5.0,cruise
6307157.197252423,6307.1571972524225,30000.0,30.0,5.0,cruise
6407857.230606988,6407.857230606988,30000.0,30.0,5.0,cruise
6508557.263961554,6508.557263961554,30000.0,30.0,5.0,cruise
6609257.297316119,6609.257297316119,30000.0,30.0,5.0,cruise
6709957.330670685,6709.957330670684,30000.0,30.0,5.0,cruise
6810657.36402525,6810.65736402525,30000.0,30.0,5.0,cruise
6911357.397379816,6911.357397379816,30000.0,30.0,5.0,cruise
7012057.430734381,7012.057430734381,30000.0,30.0,5.0,cruise
7112757.464088947,7112.757464088947,30000.0,30.0,5.0,cruise
7213457.497443512,7213.457497443512,30000.0,30.0,5.0,cruise
7314157.530798078,7314.1575307980775,30000.0,30.0,5.0,cruise
7414857.564152643,7414.857564152643,30000.0,30.0,5.0,cruise
7515557.597507209,7515.557597507209,30000.0,30.0,5.0,cruise
7616257.630861774,7616.2576308617745,30000.0,30.0,5.0,cruise
7716957.66421634,7716.957664216339,30000.0,30.0,5.0,cruise
7817657.697570905,7817.657697570905,30000.0,30.0,5.0,cruise
7918357.730925471,7918.357730925471,30000.0,30.0,5.0,cruise
8019057.764280036,8019.057764280036,30000.0,30.0,5.0,cruise
8119757.797634602,8119.757797634602,30000.0,30.0,5.0,cruise
8220457.830989167,8220.457830989168,30000.0,30.0,5.0,cruise
8321157.864343733,8321.157864343733,30000.0,30.0,5.0,cruise
8421857.897698298,8421.857897698299,30000.0,30.0,5.0,cruise
8522557.931052864,8522.557931052863,30000.0,30.0,5.0,cruise
8623257.96440743,8623.257964407429,30000.0,30.0,5.0,cruise
8723957.997761995,8723.957997761994,30000.0,30.0,5.0,cruise
8736945.919132689,8736.94591913269,29995.763011086787,29.995763011086787,4.958030600386729,descent
8749824.237791395,8749.824237791396,29983.05204434715,29.98305204434715,4.916154488283487,descent
