gamma_deg,h_cruise_m,x_m,rho,v
5,25000.0,41300.0,0.7503261637250207,349.2995642597625
5,25000.0,41400.0,0.7494701677513501,349.7221894164695
5,25000.0,41500.0,0.7486153042180331,350.1443044637996
5,25000.0,41600.0,0.7477615714207473,350.56591124441485
5,25000.0,41700.0,0.7469089676580393,350.98701158991054
5,25000.0,41800.0,0.7460574912313287,351.40760732090735
5,25000.0,41900.0,0.7452071404448991,351.8277002471437
5,25000.0,42000.0,0.744357913605894,352.24729216756657
5,25000.0,42100.0,0.7435098090243066,352.66638487042115
5,25000.0,42200.0,0.7426628250129858,353.0849801333399
5,25000.0,42300.0,0.7418169598876161,353.50307972343046
5,25000.0,42400.0,0.7409722119667242,353.9206853973628
5,25000.0,42500.0,0.7401285795716683,354.3377989014551
5,25000.0,42600.0,0.7392860610266344,354.75442197175926
5,25000.0,42700.0,0.7384446546586272,355.170556334145
5,25000.0,42800.0,0.7376043587974741,355.58620370438314
5,25000.0,42900.0,0.7367651717758078,356.0013657882285
5,25000.0,43000.0,0.7359270919290707,356.4160442815013
5,25000.0,43100.0,0.7350901175955051,356.830240870168
5,25000.0,43200.0,0.7342542471161502,357.24395723042136
5,25000.0,43300.0,0.7334194788348319,357.6571950287595
5,25000.0,43400.0,0.732585811098168,358.06995592206437
5,25000.0,43500.0,0.7317532422555497,358.482241557679
5,25000.0,43600.0,0.7309217706591471,358.8940535734844
5,25000.0,43700.0,0.7300913946638989,359.3053935979755
5,25000.0,43800.0,0.7292621126275096,359.7162632503362
5,25000.0,43900.0,0.7284339229104393,360.1266641405134
5,25000.0,44000.0,0.7276068238759089,360.53659786929137
5,25000.0,44100.0,0.7267808138898822,360.9460660283641
5,25000.0,44200.0,0.7259558913210709,361.3550702004071
5,25000.0,44300.0,0.7251320545409239,361.7636119591496
5,25000.0,44400.0,0.7243093019236263,362.17169286944437
5,25000.0,44500.0,0.7234876318460881,362.5793144873383
5,25000.0,44600.0,0.7226670426879462,362.9864783601411
5,25000.0,44700.0,0.7218475328315554,363.39318602649416
